City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Cabedelo,-6.9811,-34.8339,27.0,78,75,3.09,BR,1610971336
Lagan,45.3929,47.3707,-0.88,88,100,6.56,RU,1610971336
Lüderitz,-26.6481,15.1594,23.25,56,0,6.27,NA,1610971336
San Juan de Urabá,8.7592,-76.5297,25.25,87,62,2.82,CO,1610971337
Arraial do Cabo,-22.9661,-42.0278,27.0,61,0,7.2,BR,1610971337
Hermanus,-34.4187,19.2345,30.56,50,3,4.02,ZA,1610971337
Tabuk,17.4189,121.4443,20.12,87,99,3.77,PH,1610971337
Magadan,59.5667,150.8,-18.64,87,100,5.3,RU,1610971337
Saint-Philippe,-21.3585,55.7679,31.0,66,0,5.14,RE,1610971338
Ribeira Grande,38.5167,-28.7,17.0,88,40,7.72,PT,1610971338
Kilindoni,-7.9139,39.6668,28.51,76,62,5.42,TZ,1610971338
Zhigansk,66.7697,123.3711,-46.47,76,48,0.89,RU,1610971338
Kahului,20.8947,-156.47,22.0,94,90,9.77,US,1610971338
Linqiong,30.4159,103.4609,9.0,43,0,3.0,CN,1610971339
Puerto Escondido,15.85,-97.0667,23.23,74,0,1.58,MX,1610971339
Laguna,38.421,-121.4238,10.56,87,1,3.8,US,1610971339
Beringovskiy,63.05,179.3167,-27.34,87,32,4.54,RU,1610971339
Myitkyina,25.3833,97.4,19.01,57,18,0.97,MM,1610971340
Geraldton,-28.7667,114.6,28.0,51,75,6.17,AU,1610971340
Chimbote,-9.0853,-78.5783,20.48,83,100,1.61,PE,1610971341
Margate,51.3813,1.3862,7.22,78,67,1.79,GB,1610971341
Iqaluit,63.7506,-68.5145,-20.0,77,90,3.09,CA,1610971341
Khorixas,-20.3667,14.9667,31.55,27,82,3.73,NA,1610971341
Bukama,-9.2,25.85,27.22,78,92,0.47,CD,1610971341
Bay Roberts,47.5999,-53.2648,1.11,93,40,4.12,CA,1610971342
Villacarrillo,38.1156,-3.0848,11.67,39,31,0.57,ES,1610971342
Pangnirtung,66.1451,-65.7125,-15.73,76,99,1.22,CA,1610971342
Hithadhoo,-0.6,73.0833,27.56,66,2,3.51,MV,1610971204
Araouane,18.9048,-3.5265,22.59,19,65,5.86,ML,1610971343
Belaya Gora,68.5333,146.4167,-40.03,82,42,0.32,RU,1610971344
Fereydūnkenār,36.6864,52.5225,22.0,28,0,6.17,IR,1610971345
Bethanien,-26.502,17.1583,32.81,14,60,1.76,NA,1610971345
Boa Viagem,-5.1275,-39.7322,24.44,72,87,2.45,BR,1610971345
Gizo Government Station,-8.103,156.8419,28.86,75,81,3.3,SB,1610971345
Qasigiannguit,68.8193,-51.1922,-8.0,53,40,6.69,GL,1610971345
Carnarvon,-24.8667,113.6333,29.0,79,32,5.66,AU,1610971256
Ambulu,-8.345,113.6058,25.81,82,100,0.85,ID,1610971346
Misratah,32.3754,15.0925,15.89,55,0,11.87,LY,1610971346
Bethel,41.3712,-73.414,1.0,75,1,2.57,US,1610971284
Khani,41.9563,42.9566,6.0,87,90,2.57,GE,1610971346
San Quintín,30.4833,-115.95,15.16,53,0,0.87,MX,1610971348
Poirino,44.9208,7.8469,6.67,38,0,0.35,IT,1610971348
Sangīn,32.0728,64.8359,17.66,27,2,0.51,AF,1610971348
Luanda,-8.8368,13.2343,28.0,69,20,4.63,AO,1610971348
Boffa,10.1667,-14.0333,33.71,23,26,1.26,GN,1610971348
Vorchdorf,48.0039,13.9212,1.67,93,75,6.69,AT,1610971349
Poum,-20.2333,164.0167,28.06,79,94,2.79,NC,1610971349
Hobart,-42.8794,147.3294,11.0,46,40,9.77,AU,1610971209
Māngrol,21.1167,70.1167,25.44,48,0,6.37,IN,1610971349
Kotido,2.9806,34.1331,30.03,30,90,5.9,UG,1610971350
Aksarka,66.5606,67.7975,-27.32,87,100,5.52,RU,1610971350
Simpang,-1.2667,104.0833,24.09,79,96,2.57,ID,1610971350
Muzhi,65.3667,64.6667,-26.62,86,100,4.35,RU,1610971350
Morondava,-20.2833,44.2833,30.91,68,73,6.49,MG,1610971350
Egvekinot,66.3167,-179.1667,-29.66,84,39,4.99,RU,1610971351
Ürümqi,43.801,87.6005,-14.0,72,43,1.0,CN,1610971266
Taoudenni,22.6783,-3.9836,20.8,22,49,8.52,ML,1610971351
Hukuntsi,-24.0,21.75,33.23,18,89,1.02,BW,1610971351
Derventa,44.9772,17.9103,0.0,80,20,3.6,BA,1610971352
Cidreira,-30.1811,-50.2056,22.87,67,78,4.9,BR,1610971352
Thunder Bay,48.4001,-89.3168,-9.44,85,90,2.06,CA,1610971352
Dhidhdhoo,6.8833,73.1,27.66,77,12,6.51,MV,1610971203
New Norfolk,-42.7826,147.0587,10.56,58,17,0.89,AU,1610971352
Tasiilaq,65.6145,-37.6368,-6.0,58,91,2.06,GL,1610971353
Kaitangata,-46.2817,169.8464,10.56,84,73,0.45,NZ,1610971353
Rocha,-34.4833,-54.3333,20.83,61,3,4.4,UY,1610971353
Mackay,-21.15,149.2,26.0,65,40,4.63,AU,1610971353
Hambantota,6.1241,81.1185,26.0,100,75,6.17,LK,1610971204
Coos Bay,43.3665,-124.2179,6.0,87,1,3.09,US,1610971354
Tuatapere,-46.1333,167.6833,9.44,88,59,1.34,NZ,1610971354
Port Lincoln,-34.7333,135.8667,15.5,84,2,6.78,AU,1610971354
West Wendover,40.7391,-114.0733,2.0,48,1,4.12,US,1610971169
Yenagoa,4.9247,6.2642,32.08,58,73,0.63,NG,1610971289
Lazarev,52.225,141.5131,-26.38,88,21,0.83,RU,1610971355
Kununurra,-15.7667,128.7333,32.0,33,100,2.57,AU,1610971355
Meulaboh,4.1363,96.1285,27.17,73,100,0.96,ID,1610971355
Grindavik,63.8424,-22.4338,1.0,93,40,7.72,IS,1610971355
Cooma,-36.2333,149.1333,16.0,72,5,3.6,AU,1610971355
Vilyuysk,63.7553,121.6247,-42.28,79,100,2.11,RU,1610971356
Sayyan,15.1718,44.3244,21.48,19,0,4.12,YE,1610971356
Chui,-33.6971,-53.4616,20.57,64,3,4.17,UY,1610971356
Moctezuma,29.8,-109.6667,12.32,37,0,1.02,MX,1610971356
Barrow,71.2906,-156.7887,-19.0,78,75,6.69,US,1610971357
Port Elizabeth,-33.918,25.5701,25.0,53,0,7.2,ZA,1610971357
Aden,12.7794,45.0367,25.49,71,31,5.78,YE,1610971358
Leshan,29.5623,103.7639,8.45,65,1,0.48,CN,1610971227
Plaster Rock,46.9065,-67.39,-3.0,74,90,5.66,CA,1610971358
Si Sa Ket,14.8333,104.3333,21.67,52,4,6.44,TH,1610971138
La Peca,-5.6111,-78.435,20.25,83,100,0.28,PE,1610971359
Redmond,47.674,-122.1215,7.22,93,76,0.65,US,1610971359
Khandyga,62.6667,135.6,-49.03,60,54,0.33,RU,1610971359
Praia da Vitória,38.7333,-27.0667,17.0,94,40,8.59,PT,1610971359
Maniitsoq,65.4167,-52.9,-5.17,88,100,4.54,GL,1610971359
São Filipe,14.8961,-24.4956,23.63,65,86,3.49,CV,1610971360
Sitka,57.0531,-135.33,6.0,75,90,4.63,US,1610971112
Maţāy,28.419,30.7792,18.43,28,0,4.15,EG,1610971360
Tilichiki,60.4667,166.1,-26.66,86,100,7.53,RU,1610971360
Vangaindrano,-23.35,47.6,31.39,67,94,4.64,MG,1610971360
Northam,51.0333,-4.2167,10.0,92,100,4.47,GB,1610971361
Pennāgaram,12.1333,77.9,25.31,54,0,3.4,IN,1610971361
Shingū,33.7333,135.9833,4.5,72,3,5.36,JP,1610971237
Havre-St-Pierre,50.2334,-63.5986,0.0,93,90,7.2,CA,1610971361
Zhangjiakou Shi Xuanhua Qu,40.6103,115.0447,-5.51,71,0,2.68,CN,1610971362
Sanguéya,10.7,-14.3667,34.63,17,26,1.84,GN,1610971362
Chokurdakh,70.6333,147.9167,-34.26,84,89,1.95,RU,1610971362
Pitimbu,-7.4706,-34.8086,27.0,78,75,3.09,BR,1610971362
Kavieng,-2.5744,150.7967,28.22,79,97,6.92,PG,1610971363
Gēdo,9.0167,37.45,24.13,21,89,3.29,ET,1610971363
Oranjemund,-28.55,16.4333,22.17,64,4,5.2,NA,1610971363
Usinsk,65.9939,57.5281,-31.29,87,49,3.19,RU,1610971363
Bairiki Village,1.3292,172.9752,26.0,83,20,5.14,KI,1610971363
Grand Gaube,-20.0064,57.6608,28.33,74,57,5.36,MU,1610971364
Yulara,-25.2406,130.9889,30.0,11,0,3.09,AU,1610971364
Lavrentiya,65.5833,-171.0,-24.51,87,100,3.79,RU,1610971364
Lucea,18.451,-78.1736,24.0,88,20,2.06,JM,1610971364
Imbituba,-28.24,-48.6703,23.0,83,75,5.14,BR,1610971285
Sharlyk,52.9167,54.75,-18.23,89,59,3.71,RU,1610971365
‘Āhuimanu,21.4447,-157.8378,22.0,73,90,6.69,US,1610971365
Sioux Lookout,50.1001,-91.917,-14.0,85,90,4.12,CA,1610971365
Linjiang,41.8069,126.9078,-22.07,83,97,0.92,CN,1610971365
Kiruna,67.8557,20.2251,-16.0,78,0,3.6,SE,1610971366
Tuktoyaktuk,69.4541,-133.0374,-22.83,90,55,4.52,CA,1610971366
Tzaneen,-23.8332,30.1635,24.0,53,20,3.09,ZA,1610971366
Aykhal,66.0,111.5,-42.31,76,80,1.37,RU,1610971366
Bud,39.447,-86.1758,-2.22,89,53,3.29,US,1610971366
Kavaratti,10.5669,72.642,28.21,67,0,2.35,IN,1610971367
Nikolskoye,59.7035,30.7861,-4.0,93,90,2.0,RU,1610971367
